"Clause Number/Sub Clause Number","Clause Title","Description of Clause","Document Name","Control Clause"
"4","Context of the organization","Establish and maintain an understanding of the organizational context relevant to the AIMS, covering internal and external factors, stakeholder requirements, scope, and the overall AIMS framework.","N/A","N/A"
"4.1","Understanding the organization and its context","Determine external issues (legal requirements, regulatory policies, cultural norms, competitive landscape) and internal issues (governance, objectives, contractual obligations, AI system purpose) that affect achieving AIMS intended results. Include the organization's AI roles and assess whether climate change is a relevant issue.","AIMS Context Analysis Register","N/A (management-system requirement; informs risk treatment and SoA)"
"4.2","Understanding the needs and expectations of interested parties","Identify relevant interested parties, determine their requirements related to the AI management system (including any climate change obligations), and decide which requirements will be addressed through the AIMS.","AIMS Interested Parties and Requirements Register","N/A (management-system requirement; informs risk treatment and SoA)"
"4.3","Determining the scope of the AI management system","Determine the boundaries and applicability of the AIMS by considering issues from 4.1 and requirements from 4.2. The scope shall cover the organization's activities for leadership, planning, support, operation, performance evaluation, improvement, controls, and objectives. Retain scope as documented information.","AIMS Scope Statement","N/A (management-system requirement; informs risk treatment and SoA)"
"4.4","AI management system","Establish, implement, maintain, continually improve, and document the AIMS including all required processes and their interactions, demonstrating a managed Plan-Do-Check-Act (PDCA) cycle for responsible AI governance across the organization.","AIMS Process Map and AIMS Manual","N/A (management-system requirement; control selection occurs through 6.1.3 and SoA)"
"5","Leadership","Top management must lead the AIMS by setting AI policy, assigning roles and responsibilities, and demonstrating visible commitment to responsible AI governance.","N/A","N/A"
"5.1","Leadership and commitment","Top management shall demonstrate AIMS commitment by aligning AI policy and objectives with organizational strategy, integrating AIMS into business processes, providing required resources, communicating conformance importance, ensuring AIMS achieves its intended results, directing employees, promoting improvement, and fostering a responsible AI culture.","AIMS Leadership Commitment Record","N/A (no direct single control; supported by A.2 and A.3 through SoA)"
"5.2","AI policy","Top management shall establish an AI policy appropriate to the organization's purpose that provides a framework for AI objectives and commits to meeting applicable requirements and continual AIMS improvement. The policy shall be documented, communicated within the organization, and made available to interested parties as appropriate.","AI Policy Statement","A.2.2 AI policy; A.2.3 Alignment with other organizational policies; A.2.4 Review of the AI policy"
"5.3","Roles, responsibilities and authorities","Top management shall assign and communicate responsibilities and authorities for ensuring AIMS conformance and reporting AIMS performance. AI roles shall be defined and allocated according to organizational needs, and a formal process established for personnel to report concerns about the organization's AI role throughout the system life cycle.","AI Roles and Responsibilities Matrix (RACI); AI Concerns Reporting Procedure","A.3.2 AI roles and responsibilities; A.3.3 Reporting of concerns"
"6","Planning","Plan actions to address AI risks and opportunities, establish AI objectives, and ensure AIMS changes are carried out in a structured and controlled manner.","N/A","N/A"
"6.1.1","General","Establish AI risk criteria to distinguish acceptable from non-acceptable risks. Determine risks and opportunities based on AI system context, intended use, and the organization's context (4.1). Plan, integrate, and evaluate actions to ensure AIMS achieves intended outcomes, prevents undesired effects, and drives continual improvement.","AI Risk Criteria and Evaluation Methodology","N/A (management-system requirement; informs control selection)"
"6.1.2","AI risk assessment","Define a repeatable AI risk assessment process aligned with AI policy and objectives that identifies risks to AI objectives, analyses consequences and likelihood to determine risk levels, and evaluates risks against defined criteria to prioritize treatment. Retain documented information on the process.","AI Risk Assessment Process and AI Risk Register","N/A (risk assessment requirement; drives Annex A control applicability)"
"6.1.3","AI risk treatment","Define an AI risk treatment process that selects treatment options, determines necessary controls (verified against Annex A), produces a Statement of Applicability (SoA) with justification for inclusions and exclusions, and formulates an AI Risk Treatment Plan (RTP) approved by authorized management. Controls shall be documented and communicated to relevant stakeholders.","AI Risk Treatment Plan; Statement of Applicability (SoA); AI Controls Register","As per SoA across Annex A control set: A.2 Policies related to AI through A.10 Third-party and customer relationships"
"6.1.4","AI system impact assessment","Define a process to assess potential consequences of AI systems on individuals, groups, and societies throughout the life cycle, considering deployment context, intended use, foreseeable misuse, and applicable jurisdictions. Results shall be documented, aligned with the AI risk assessment, and made available to relevant stakeholders.","AI System Impact Assessment (AISIA) Procedure and Reports","A.5.2 AI system impact assessment process; A.5.3 Documentation of AI system impact assessments; A.5.4 Assessing AI system impact on individuals or groups of individuals; A.5.5 Assessing societal impacts of AI systems"
"6.2","AI objectives and planning to achieve them","Establish measurable AI objectives consistent with the AI policy. For each objective, determine what will be done, resources required, responsible parties, completion timelines, and how results will be evaluated. Retain objectives as documented information.","AI Objectives Register and Achievement Plan","A.6.1.2 Objectives for responsible development of AI system; A.9.3 Objectives for responsible use of AI system"
"6.3","Planning of changes","Ensure any changes to the AIMS are carried out in a planned and controlled manner. Implement a structured change management process that assesses the impact of proposed changes, implements changes systematically, and mitigates any negative effects on the AI management system and its outcomes.","AIMS Change Management Procedure","N/A (no direct single control; often supported by A.6.2.5, A.6.2.6, A.9.2 via SoA)"
"7","Support","Provide the necessary resources, competence, awareness, communication structures, and documented information to establish, operate, and continually improve the AIMS.","N/A","N/A"
"7.1","Resources","Determine and provide all necessary human and non-human resources (budget, tools, systems, data infrastructure) required to establish, implement, maintain, and continually improve the AIMS, including resources needed across the AI system life cycle stages.","AI Resource Inventory and Capacity Plan","A.4.2 Resource documentation; A.4.3 Data resources; A.4.4 Tooling resources; A.4.5 System and computing resources; A.4.6 Human resources"
"7.2","Competence","Determine required competences for personnel affecting AI performance; ensure competence through appropriate education, training, or experience; take action to address gaps (training, mentoring, hiring); evaluate action effectiveness; and retain documented evidence of competence.","AI Competence and Training Matrix","A.4.6 Human resources"
"7.3","Awareness","Ensure all personnel working under the organization's control are made aware of: the AI policy and its content; their individual contribution to AIMS effectiveness and the benefits of improved AI performance; and the implications of non-conformity with AIMS requirements.","AIMS Awareness and Communication Log","N/A (management-system requirement)"
"7.4","Communication","Determine internal and external AIMS communications: what will be communicated, when, to whom, and how. Covers obligations to provide AI system information to users, report adverse impacts externally, communicate incidents, and meet reporting obligations to interested parties.","AIMS Communication Matrix","A.8.2 System documentation and information for users; A.8.3 External reporting; A.8.4 Communication of incidents; A.8.5 Information for interested parties"
"7.5.1","General","Define and maintain the scope of documented information required by the AIMS, including both standard-mandated documentation and organization-determined documentation necessary for AIMS effectiveness. The extent of documented information should reflect organizational size and type, process complexity and their interactions, and the competence of personnel.","AIMS Documentation Register","N/A (management-system requirement)"
"7.5.2","Creating and updating documented information","Establish controls to ensure that when creating and updating AIMS documented information, the organization ensures appropriate: identification and description (title, date, author, or reference number); format (language, software version, graphics) and media (paper, electronic); and review and approval for suitability and adequacy prior to release.","Document Creation and Approval SOP","N/A (management-system requirement)"
"7.5.3","Control of documented information","Control AIMS documented information to ensure availability and adequate protection (confidentiality, integrity, proper use). Address distribution, access, retrieval, storage, preservation, version control, retention, disposition, and control of externally-originated documents required for AIMS planning and operation.","Document Control and Records Retention Procedure","N/A (management-system requirement)"
"8","Operation","Plan, implement, and control AIMS operational processes covering the AI system life cycle, operational risk treatment, and periodic impact assessments.","N/A","N/A"
"8.1","Operational planning and control","Plan, implement, and control AIMS processes by establishing criteria, implementing risk treatment controls across the AI system life cycle, monitoring effectiveness, managing planned and unintended changes, and controlling externally-provided AI-related processes and services. Retain documented information sufficient to demonstrate consistent performance.","AI Lifecycle Operational Control Plan","A.6.1.2 Objectives for responsible development of AI system; A.6.1.3 Processes for responsible AI system design and development; A.6.2.2 AI system requirements and specification; A.6.2.3 Documentation of AI system design and development; A.6.2.4 AI system verification and validation; A.6.2.5 AI system deployment; A.6.2.6 AI system operation and monitoring; A.6.2.7 AI system technical documentation; A.6.2.8 AI system recording of event logs; A.7.2 Data for development and enhancement of AI system; A.7.3 Acquisition of data; A.7.4 Quality of data for AI systems; A.7.5 Data provenance; A.7.6 Data preparation; A.8.2 System documentation and information for users; A.9.2 Processes for responsible use of AI systems; A.9.4 Intended use of the AI system; A.10.2 Allocating responsibilities; A.10.3 Suppliers; A.10.4 Customers"
"8.2","AI risk assessment","Perform AI risk assessments at planned intervals and whenever significant changes occur or are proposed, following the repeatable process established in 6.1.2. Retain documented evidence of the results of each AI risk assessment performed.","Periodic AI Risk Assessment Reports","N/A (operational execution of 6.1.2; informs SoA updates)"
"8.3","AI risk treatment","Implement the AI risk treatment plan as determined in 6.1.3. Verify the effectiveness of implemented controls; if actions are found to be insufficient, review treatment options and implement a revised RTP. Retain documented evidence of risk treatment results.","AI Risk Treatment Execution Log and Updated Risk Treatment Plan","As per SoA across Annex A control set: A.2 Policies related to AI through A.10 Third-party and customer relationships"
"8.4","AI system impact assessment","Perform AI system impact assessments at planned intervals and whenever significant changes to AI systems are proposed, following the process established in 6.1.4. Retain documented evidence of the results of each AI system impact assessment performed.","Periodic AI System Impact Assessment Reports","A.5.2 AI system impact assessment process; A.5.3 Documentation of AI system impact assessments; A.5.4 Assessing AI system impact on individuals or groups of individuals; A.5.5 Assessing societal impacts of AI systems"
"9","Performance evaluation","Monitor, measure, audit, and review the AIMS to evaluate its performance, effectiveness, and conformity to requirements.","N/A","N/A"
"9.1","Monitoring, measurement, analysis and evaluation","Determine what to monitor and measure, applicable methods to ensure valid results, timing of monitoring, and when results shall be analysed. Evaluate AIMS performance and effectiveness, and retain documented evidence of results.","AIMS KPI and Monitoring Plan","N/A (management-system requirement; metrics can include performance indicators for Annex A controls)"
"9.2.1","General","Conduct internal audits at planned intervals to verify whether the AIMS: (a) conforms to the organization's own AIMS requirements and the requirements of ISO/IEC 42001:2023; and (b) is effectively implemented and maintained. Retain documented evidence of audit results.","Internal Audit Schedule","N/A (management-system requirement)"
"9.2.2","Internal audit programme","Plan, establish, implement, and maintain audit programme(s) covering frequency, methods, responsibilities, and reporting. Apply risk-based auditing considering previous results. For each audit, define objectives, criteria, and scope; select impartial auditors; and report results to relevant management. Retain evidence of the programme and audit results.","Internal Audit Programme Procedure and Audit Reports","N/A (management-system requirement)"
"9.3.1","General","Top management shall review the AIMS at planned intervals to ensure its continuing suitability, adequacy, and effectiveness in meeting the organization's AI governance objectives.","Management Review Calendar and Agenda Template","N/A (management-system requirement)"
"9.3.2","Management review inputs","The management review shall include: status of previous review actions; changes in external/internal issues and interested party needs; AIMS performance trends (nonconformities, corrective actions, monitoring results, audit results); and opportunities for continual improvement.","Management Review Input Pack","N/A (management-system requirement)"
"9.3.3","Management review results","Record and communicate management review outcomes, including: decisions related to continual improvement opportunities; and any required changes to the AIMS. Retain documented evidence of management review results.","AIMS Management Review Minutes and Action Tracker","N/A (management-system requirement)"
"10","Improvement","Drive continual improvement of the AIMS and manage nonconformities through structured corrective actions.","N/A","N/A"
"10.1","Continual improvement","Continually improve the suitability, adequacy, and effectiveness of the AIMS through systematic identification and implementation of improvements across all AIMS elements, informed by performance evaluation results, audit findings, management review outputs, and stakeholder feedback.","Continual Improvement Register","N/A (management-system requirement)"
"10.2","Nonconformity and corrective action","When a nonconformity occurs: correct it and address consequences; determine root cause; check for recurrence elsewhere; implement corrective actions proportionate to consequences; evaluate effectiveness; update AIMS as necessary. Retain evidence of the nonconformity, actions taken, and results.","Nonconformity and Corrective Action (CAPA) Register","N/A (management-system requirement)"
